[07-05-21 10:39:57 | Arc_functions.py             psd(), line 537] DEBUG: el_s obtained with N=769550, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:39:57 | Arc_functions.py             psd(), line 541] DEBUG: RMS integral: 1.6122640353888474e-10
[07-05-21 10:39:58 | Arc_functions.py             psd(), line 537] DEBUG: el_s obtained with N=2508733, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:39:58 | Arc_functions.py             psd(), line 541] DEBUG: RMS integral: 6.331122880380981e-10
[07-05-21 10:39:58 | Arc_functions.py             psd(), line 537] DEBUG: el_s obtained with N=615640, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:39:58 | Arc_functions.py             psd(), line 541] DEBUG: RMS integral: 1.8166807748562375e-10
[07-05-21 10:39:58 | Arc_functions.py             psd(), line 537] DEBUG: el_s obtained with N=1200498, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:39:58 | Arc_functions.py             psd(), line 541] DEBUG: RMS integral: 1.335018483621024e-10
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 537] DEBUG: el_s obtained with N=7680109, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 541] DEBUG: RMS integral: 1.6016436357785104e-10
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 537] DEBUG: el_s obtained with N=831114, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 541] DEBUG: RMS integral: 8.625942192568772e-11
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 537] DEBUG: el_s obtained with N=430948, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 541] DEBUG: RMS integral: 6.384828219383557e-10
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 537] DEBUG: el_s obtained with N=2354823, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 541] DEBUG: RMS integral: 2.891603900879255e-10
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 548] DEBUG: Size of the data used: 4801992
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 549] INFO: Value of the integral: 5.491663142581832e-11
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 550] INFO: Mean of the pick-off: 0
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 557] INFO: First index of the data chosen: [12343582]
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 558] INFO: Data selected are from 22/11/20 22:36:19 to 22/11/20 23:56:21
[07-05-21 10:39:59 | Arc_functions.py             psd(), line 559] INFO: Optimal array successfully found
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 568] INFO: Voltage min = [-9.948893]
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 569] INFO: Voltage max = [-2.86356]
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 570] INFO: Alpha = [1.19500988e-07]
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 574] DEBUG: Number of slice for the subset: 16
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300125, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 2.2110719849081876e-10
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300125, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 5.596446528263102e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300125, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 4.293636177193711e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300125, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 3.570130028703917e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300125, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 5.86137566462337e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300125, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 5.039060528516119e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300125, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 3.487642329285751e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300125, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 3.045365503046858e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300124, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 2.307918936133677e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300124, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 1.9054477786847196e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300124, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 1.5900255317448787e-11
